race_id,municipality,office,seats,candidates_registered
ON-machar-mayor,"Machar, Township of",mayor,1,1
ON-machin-council,"Machin, Township of",councillor,4,0
ON-machin-mayor,"Machin, Township of",mayor,1,0
ON-madawaska-valley-council-at-large,"Madawaska Valley, Township of",councillor,4,2
ON-madawaska-valley-mayor,"Madawaska Valley, Township of",mayor,1,1
ON-madoc-council-at-large,"Madoc, Township of",councillor,,3
ON-madoc-deputy-mayor,"Madoc, Township of",deputy_mayor,1,1
ON-madoc-mayor,"Madoc, Township of",mayor,1,2
ON-magnetawan-council,"Magnetawan, Municipality of",councillor,4,8
ON-magnetawan-mayor,"Magnetawan, Municipality of",mayor,1,4
ON-malahide-council-w01,"Malahide, Township of",councillor,1,0
ON-malahide-council-w02,"Malahide, Township of",councillor,1,0
ON-malahide-council-w03,"Malahide, Township of",councillor,1,1
ON-malahide-council-w04,"Malahide, Township of",councillor,1,1
ON-malahide-council-w05,"Malahide, Township of",councillor,1,0
ON-malahide-deputy-mayor,"Malahide, Township of",deputy_mayor,1,1
ON-malahide-mayor,"Malahide, Township of",mayor,1,0
ON-manitouwadge-council,"Manitouwadge, Township of",councillor,4,6
ON-manitouwadge-mayor,"Manitouwadge, Township of",mayor,1,3
ON-mapleton-council-at-large,"Mapleton, Township of",councillor,4,4
ON-mapleton-county-councillor-w02,"Mapleton, Township of",county_councillor,1,1
ON-mapleton-mayor,"Mapleton, Township of",mayor,1,1
ON-mapleton-trustee-ugdsb,"Mapleton, Township of",trustee,1,0
ON-marathon-councillor,"Marathon, Town of",councillor,4,6
ON-marathon-mayor,"Marathon, Town of",mayor,1,2
ON-marathon-trustee-csdcab,"Marathon, Town of",trustee,1,1
ON-marathon-trustee-sgdsb,"Marathon, Town of",trustee,1,1
ON-marathon-trustee-sncdsb,"Marathon, Town of",trustee,1,1
ON-markham-council-w01,"Markham, City of",councillor,1,2
ON-markham-council-w02,"Markham, City of",councillor,1,2
ON-markham-council-w03,"Markham, City of",councillor,1,5
ON-markham-council-w04,"Markham, City of",councillor,1,1
ON-markham-council-w05,"Markham, City of",councillor,1,3
ON-markham-council-w06,"Markham, City of",councillor,1,1
ON-markham-council-w07,"Markham, City of",councillor,1,4
ON-markham-council-w08,"Markham, City of",councillor,1,2
ON-markham-mayor,"Markham, City of",mayor,1,1
ON-markham-regional-councillor-at-large,"Markham, City of",regional_councillor,4,6
ON-markstay-warren-councillor,"Markstay-Warren, Municipality of",councillor,4,2
ON-markstay-warren-mayor,"Markstay-Warren, Municipality of",mayor,1,1
ON-marmora-and-lake-council-at-large,"Marmora and Lake, Municipality of",councillor,,5
ON-marmora-and-lake-mayor,"Marmora and Lake, Municipality of",mayor,1,5
ON-matachewan-council-at-large,"Matachewan, Township of",councillor,4,5
ON-matachewan-mayor,"Matachewan, Township of",mayor,1,2
ON-mattawa-council,"Mattawa, Town of",councillor,4,7
ON-mattawa-mayor,"Mattawa, Town of",mayor,1,1
ON-mattawan-council,"Mattawan, Municipality of",councillor,4,1
ON-mattawan-mayor,"Mattawan, Municipality of",mayor,1,1
ON-mattice-val-cote-councillor,"Mattice-Val Côté, Township of",councillor,,5
ON-mattice-val-cote-mayor,"Mattice-Val Côté, Township of",mayor,1,2
ON-mcdougall-councillor,"McDougall, Township of",councillor,4,4
ON-mcdougall-mayor,"McDougall, Township of",mayor,1,1
ON-mcgarry-councillor,"McGarry, Township of",councillor,4,0
ON-mcgarry-mayor,"McGarry, Township of",mayor,1,0
ON-mckellar-council,"McKellar, Township of",councillor,4,5
ON-mckellar-mayor,"McKellar, Township of",mayor,1,1
ON-mcmurrich-monteith-council-at-large,"McMurrich/Monteith, Township of",councillor,4,0
ON-mcmurrich-monteith-mayor,"McMurrich/Monteith, Township of",mayor,1,1
ON-mcnab-braeside-council,"McNab/Braeside, Township of",councillor,3,6
ON-mcnab-braeside-deputy-mayor,"McNab/Braeside, Township of",deputy_mayor,1,2
ON-mcnab-braeside-mayor,"McNab/Braeside, Township of",mayor,1,3
ON-mcnab-braeside-trustee-csdcce,"McNab/Braeside, Township of",trustee,1,1
ON-meaford-council-at-large,"Meaford, Municipality of",councillor,5,7
ON-meaford-deputy-mayor,"Meaford, Municipality of",deputy_mayor,1,1
ON-meaford-mayor,"Meaford, Municipality of",mayor,1,1
ON-melancthon-councillor,"Melancthon, Township of",councillor,3,6
ON-melancthon-deputy-mayor,"Melancthon, Township of",deputy_mayor,1,1
ON-melancthon-mayor,"Melancthon, Township of",mayor,1,1
ON-merrickville-wolford-councillor-merrickville-ward,"Merrickville-Wolford, Village of",councillor,1,3
ON-merrickville-wolford-councillor-wolford-ward,"Merrickville-Wolford, Village of",councillor,1,2
ON-merrickville-wolford-mayor,"Merrickville-Wolford, Village of",mayor,1,2
ON-merrickville-wolford-trustee-cdsbeo,"Merrickville-Wolford, Village of",trustee,1,0
ON-merrickville-wolford-trustee-cepeo,"Merrickville-Wolford, Village of",trustee,1,0
ON-merrickville-wolford-trustee-csdceo,"Merrickville-Wolford, Village of",trustee,1,0
ON-middlesex-centre-council-w01,"Middlesex Centre, Municipality of",councillor,1,2
ON-middlesex-centre-council-w02,"Middlesex Centre, Municipality of",councillor,1,1
ON-middlesex-centre-council-w03,"Middlesex Centre, Municipality of",councillor,1,2
ON-middlesex-centre-council-w04,"Middlesex Centre, Municipality of",councillor,1,1
ON-middlesex-centre-council-w05,"Middlesex Centre, Municipality of",councillor,1,1
ON-middlesex-centre-deputy-mayor,"Middlesex Centre, Municipality of",deputy_mayor,1,1
ON-middlesex-centre-mayor,"Middlesex Centre, Municipality of",mayor,1,1
ON-midland-council-at-large,"Midland, Town of",councillor,7,8
ON-midland-deputy-mayor,"Midland, Town of",deputy_mayor,1,1
ON-midland-mayor,"Midland, Town of",mayor,1,1
ON-milton-council-w01,"Milton, Town of",councillor,1,5
ON-milton-council-w02,"Milton, Town of",councillor,1,6
ON-milton-council-w03,"Milton, Town of",councillor,1,2
ON-milton-council-w04,"Milton, Town of",councillor,1,5
ON-milton-mayor,"Milton, Town of",mayor,1,8
ON-milton-regional-councillor-w01,"Milton, Town of",regional_councillor,1,1
ON-milton-regional-councillor-w02,"Milton, Town of",regional_councillor,1,4
ON-milton-regional-councillor-w03,"Milton, Town of",regional_councillor,1,4
ON-milton-regional-councillor-w04,"Milton, Town of",regional_councillor,1,5
ON-milton-trustee-hcdsb-w01-04,"Milton, Town of",trustee,1,1
ON-milton-trustee-hcdsb-w02-03,"Milton, Town of",trustee,1,1
ON-milton-trustee-hdsb-w01-02,"Milton, Town of",trustee,1,1
ON-milton-trustee-hdsb-w03-04,"Milton, Town of",trustee,1,4
ON-minden-hills-council-at-large,"Minden Hills, Township of",councillor,,2
ON-minden-hills-council-w01,"Minden Hills, Township of",councillor,,3
ON-minden-hills-council-w02,"Minden Hills, Township of",councillor,,3
ON-minden-hills-council-w03,"Minden Hills, Township of",councillor,,3
ON-minden-hills-deputy-mayor,"Minden Hills, Township of",deputy_mayor,1,1
ON-minden-hills-mayor,"Minden Hills, Township of",mayor,1,4
ON-minto-council-at-large,"Minto, Town of",councillor,5,10
ON-minto-county-councillor,"Minto, Town of",county_councillor,1,1
ON-minto-deputy-mayor,"Minto, Town of",deputy_mayor,1,0
ON-minto-mayor,"Minto, Town of",mayor,1,1
ON-mississauga-council-w01,"Mississauga, City of",councillor,1,2
ON-mississauga-council-w02,"Mississauga, City of",councillor,1,7
ON-mississauga-council-w03,"Mississauga, City of",councillor,1,4
ON-mississauga-council-w04,"Mississauga, City of",councillor,1,1
ON-mississauga-council-w05,"Mississauga, City of",councillor,1,8
ON-mississauga-council-w06,"Mississauga, City of",councillor,1,2
ON-mississauga-council-w07,"Mississauga, City of",councillor,1,15
ON-mississauga-council-w08,"Mississauga, City of",councillor,1,3
ON-mississauga-council-w09,"Mississauga, City of",councillor,1,4
ON-mississauga-council-w10,"Mississauga, City of",councillor,1,2
ON-mississauga-council-w11,"Mississauga, City of",councillor,1,2
ON-mississauga-mayor,"Mississauga, City of",mayor,1,9
ON-mississippi-mills-council-almonte,"Mississippi Mills, Municipality of",councillor,2,1
ON-mississippi-mills-council-pakenham,"Mississippi Mills, Municipality of",councillor,1,1
ON-mississippi-mills-council-ramsay,"Mississippi Mills, Municipality of",councillor,2,1
ON-mississippi-mills-deputy-mayor,"Mississippi Mills, Municipality of",deputy_mayor,1,1
ON-mississippi-mills-mayor,"Mississippi Mills, Municipality of",mayor,1,1
ON-mono-council-at-large,"Mono, Town of",councillor,3,11
ON-mono-deputy-mayor,"Mono, Town of",deputy_mayor,1,3
ON-mono-mayor,"Mono, Town of",mayor,1,4
ON-montague-council-at-large,"Montague, Township of",councillor,,3
ON-montague-deputy-reeve,"Montague, Township of",deputy_mayor,,1
ON-montague-mayor,"Montague, Township of",mayor,1,1
ON-moonbeam-council-at-large,"Moonbeam, Township of",councillor,,0
ON-moonbeam-mayor,"Moonbeam, Township of",mayor,1,
ON-moosonee-council,"Moosonee, Town of",councillor,4,0
ON-moosonee-mayor,"Moosonee, Town of",mayor,1,0
ON-morley-council-at-large,"Morley, Township of",councillor,4,0
ON-morley-mayor,"Morley, Township of",mayor,1,0
ON-morris-turnberry-council-at-large,"Morris-Turnberry, Municipality of",councillor,4,1
ON-morris-turnberry-mayor,"Morris-Turnberry, Municipality of",mayor,1,1
ON-mulmur-council-at-large,"Mulmur, Township of",councillor,3,3
ON-mulmur-deputy-mayor,"Mulmur, Township of",deputy_mayor,1,1
ON-mulmur-mayor,"Mulmur, Township of",mayor,1,1
ON-muskoka-lakes-council-warda-district,"Muskoka Lakes, Township of",regional_councillor,1,2
ON-muskoka-lakes-council-warda-township,"Muskoka Lakes, Township of",councillor,2,4
ON-muskoka-lakes-council-wardb-district,"Muskoka Lakes, Township of",regional_councillor,1,1
ON-muskoka-lakes-council-wardb-township,"Muskoka Lakes, Township of",councillor,2,2
ON-muskoka-lakes-council-wardc-district,"Muskoka Lakes, Township of",regional_councillor,1,2
ON-muskoka-lakes-council-wardc-township,"Muskoka Lakes, Township of",councillor,2,3
ON-muskoka-lakes-mayor,"Muskoka Lakes, Township of",mayor,1,1
ON-muskoka-lakes-trustee-smcdsb,"Muskoka Lakes, Township of",trustee,1,0
ON-muskoka-lakes-trustee-tldsb,"Muskoka Lakes, Township of",trustee,1,0
ON-nairn-and-hyman-council-at-large,"Nairn and Hyman, Township of",councillor,4,3
ON-nairn-and-hyman-mayor,"Nairn and Hyman, Township of",mayor,1,1
ON-neebing-councillor-at-large,"Neebing, Municipality of",councillor,1,1
ON-neebing-councillor-blake,"Neebing, Municipality of",councillor,1,2
ON-neebing-councillor-crooks,"Neebing, Municipality of",councillor,1,1
ON-neebing-councillor-pardee,"Neebing, Municipality of",councillor,1,1
ON-neebing-councillor-pearson,"Neebing, Municipality of",councillor,1,2
ON-neebing-councillor-scoble,"Neebing, Municipality of",councillor,1,2
ON-neebing-mayor,"Neebing, Municipality of",mayor,1,5
ON-new-tecumseth-council-w01,"New Tecumseth, Town of",councillor,1,1
ON-new-tecumseth-council-w02,"New Tecumseth, Town of",councillor,1,2
ON-new-tecumseth-council-w03,"New Tecumseth, Town of",councillor,1,2
ON-new-tecumseth-council-w04,"New Tecumseth, Town of",councillor,1,1
ON-new-tecumseth-council-w05,"New Tecumseth, Town of",councillor,1,2
ON-new-tecumseth-council-w06,"New Tecumseth, Town of",councillor,1,3
ON-new-tecumseth-council-w07,"New Tecumseth, Town of",councillor,1,3
ON-new-tecumseth-deputy-mayor,"New Tecumseth, Town of",deputy_mayor,1,2
ON-new-tecumseth-mayor,"New Tecumseth, Town of",mayor,1,2
ON-newbury-council-at-large,"Newbury, Village of",councillor,4,0
ON-newbury-mayor,"Newbury, Village of",mayor,1,
ON-newmarket-council-w01,"Newmarket, Town of",councillor,1,5
ON-newmarket-council-w02,"Newmarket, Town of",councillor,1,3
ON-newmarket-council-w03,"Newmarket, Town of",councillor,1,3
ON-newmarket-council-w04,"Newmarket, Town of",councillor,1,2
ON-newmarket-council-w05,"Newmarket, Town of",councillor,1,1
ON-newmarket-council-w06,"Newmarket, Town of",councillor,1,1
ON-newmarket-council-w07,"Newmarket, Town of",councillor,1,1
ON-newmarket-deputy-mayor,"Newmarket, Town of",regional_councillor,1,1
ON-newmarket-mayor,"Newmarket, Town of",mayor,1,1
ON-niagara-falls-council-at-large,"Niagara Falls, City of",councillor,8,13
ON-niagara-falls-mayor,"Niagara Falls, City of",mayor,1,4
ON-niagara-on-the-lake-council-at-large,"Niagara-on-the-Lake, Town of",councillor,6,5
ON-niagara-on-the-lake-mayor,"Niagara-on-the-Lake, Town of",mayor,1,3
ON-nipigon-council,"Nipigon, Township of",councillor,4,3
ON-nipigon-mayor,"Nipigon, Township of",mayor,1,2
ON-nipissing-council,"Nipissing, Township of",councillor,4,6
ON-nipissing-mayor,"Nipissing, Township of",mayor,1,2
ON-norfolk-county-council-w01,Norfolk County,councillor,1,1
ON-norfolk-county-council-w02,Norfolk County,councillor,1,1
ON-norfolk-county-council-w03,Norfolk County,councillor,1,3
ON-norfolk-county-council-w04,Norfolk County,councillor,1,1
ON-norfolk-county-council-w05,Norfolk County,councillor,1,6
ON-norfolk-county-council-w06,Norfolk County,councillor,1,1
ON-norfolk-county-council-w07,Norfolk County,councillor,1,2
ON-norfolk-county-mayor,Norfolk County,mayor,1,7
ON-north-algona-wilberforce-councillor,"North Algona Wilberforce, Township of",councillor,4,4
ON-north-algona-wilberforce-mayor,"North Algona Wilberforce, Township of",mayor,1,0
ON-north-algona-wilberforce-trustee-cepeo,"North Algona Wilberforce, Township of",trustee,1,0
ON-north-algona-wilberforce-trustee-rcdsb,"North Algona Wilberforce, Township of",trustee,1,1
ON-north-bay-council-at-large,"North Bay, City of",councillor,10,6
ON-north-bay-mayor,"North Bay, City of",mayor,1,3
ON-north-dumfries-council-w01,"North Dumfries, Township of",councillor,1,2
ON-north-dumfries-council-w02,"North Dumfries, Township of",councillor,1,2
ON-north-dumfries-council-w03,"North Dumfries, Township of",councillor,1,1
ON-north-dumfries-council-w04,"North Dumfries, Township of",councillor,1,2
ON-north-dumfries-mayor,"North Dumfries, Township of",mayor,1,2
ON-north-dundas-council-at-large,"North Dundas, Township of",councillor,3,3
ON-north-dundas-deputy-mayor,"North Dundas, Township of",deputy_mayor,1,2
ON-north-dundas-mayor,"North Dundas, Township of",mayor,1,2
ON-north-frontenac-councillor-ward1,"North Frontenac, Township of",councillor,1,2
ON-north-frontenac-councillor-ward2,"North Frontenac, Township of",councillor,1,2
ON-north-frontenac-councillor-ward3,"North Frontenac, Township of",councillor,1,4
ON-north-frontenac-mayor,"North Frontenac, Township of",mayor,1,4
ON-north-glengarry-council-at-large,"North Glengarry, Township of",councillor,1,1
ON-north-glengarry-council-w01,"North Glengarry, Township of",councillor,1,3
ON-north-glengarry-council-w02,"North Glengarry, Township of",councillor,1,1
ON-north-glengarry-council-w03,"North Glengarry, Township of",councillor,1,2
ON-north-glengarry-council-w04,"North Glengarry, Township of",councillor,1,2
ON-north-glengarry-deputy-mayor,"North Glengarry, Township of",deputy_mayor,1,1
ON-north-glengarry-mayor,"North Glengarry, Township of",mayor,1,5
ON-north-grenville-council-at-large,"North Grenville, Municipality of",councillor,4,2
ON-north-grenville-mayor,"North Grenville, Municipality of",mayor,1,1
ON-north-huron-council-east-wawanosh,"North Huron, Township of",councillor,1,2
ON-north-huron-council-wingham,"North Huron, Township of",councillor,1,2
ON-north-huron-mayor,"North Huron, Township of",mayor,1,2
ON-north-kawartha-councillor-at-large,"North Kawartha, Township of",councillor,1,1
ON-north-kawartha-councillor-ward1,"North Kawartha, Township of",councillor,1,1
ON-north-kawartha-councillor-ward2,"North Kawartha, Township of",councillor,1,1
ON-north-kawartha-deputy-mayor,"North Kawartha, Township of",deputy_mayor,1,1
ON-north-kawartha-mayor,"North Kawartha, Township of",mayor,1,1
ON-north-middlesex-council-w01,"North Middlesex, Municipality of",councillor,1,1
ON-north-middlesex-council-w02,"North Middlesex, Municipality of",councillor,1,1
ON-north-middlesex-council-w03,"North Middlesex, Municipality of",councillor,1,1
ON-north-middlesex-council-w04,"North Middlesex, Municipality of",councillor,1,1
ON-north-middlesex-council-w05,"North Middlesex, Municipality of",councillor,1,1
ON-north-middlesex-deputy-mayor,"North Middlesex, Municipality of",deputy_mayor,1,2
ON-north-middlesex-mayor,"North Middlesex, Municipality of",mayor,1,1
ON-north-perth-council-elma-ward,"North Perth, Municipality of",councillor,3,1
ON-north-perth-council-listowel-ward,"North Perth, Municipality of",councillor,3,5
ON-north-perth-council-wallace-ward,"North Perth, Municipality of",councillor,2,2
ON-north-perth-deputy-mayor,"North Perth, Municipality of",deputy_mayor,1,2
ON-north-perth-mayor,"North Perth, Municipality of",mayor,1,1
ON-north-stormont-council,"North Stormont, Township of",councillor,3,3
ON-north-stormont-deputy-mayor,"North Stormont, Township of",deputy_mayor,1,1
ON-north-stormont-mayor,"North Stormont, Township of",mayor,1,1
ON-northeastern-manitoulin-and-the-islands-councillor-ward1,"Northeastern Manitoulin and The Islands, Town of",councillor,2,2
ON-northeastern-manitoulin-and-the-islands-councillor-ward2,"Northeastern Manitoulin and The Islands, Town of",councillor,2,1
ON-northeastern-manitoulin-and-the-islands-councillor-ward3,"Northeastern Manitoulin and The Islands, Town of",councillor,2,2
ON-northeastern-manitoulin-and-the-islands-councillor-ward4,"Northeastern Manitoulin and The Islands, Town of",councillor,2,2
ON-northeastern-manitoulin-and-the-islands-mayor,"Northeastern Manitoulin and The Islands, Town of",mayor,1,1
ON-northern-bruce-peninsula-council-at-large,"Northern Bruce Peninsula, Municipality of",councillor,,0
ON-northern-bruce-peninsula-deputy-mayor,"Northern Bruce Peninsula, Municipality of",deputy_mayor,,0
ON-northern-bruce-peninsula-mayor,"Northern Bruce Peninsula, Municipality of",mayor,1,1
ON-norwich-council-w01,"Norwich, Township of",councillor,1,2
ON-norwich-council-w02,"Norwich, Township of",councillor,1,1
ON-norwich-council-w03,"Norwich, Township of",councillor,1,1
ON-norwich-council-w04,"Norwich, Township of",councillor,1,1
ON-norwich-mayor,"Norwich, Township of",mayor,1,1
ON-oakville-council-w01,"Oakville, Town of",councillor,1,3
ON-oakville-council-w02,"Oakville, Town of",councillor,1,3
ON-oakville-council-w03,"Oakville, Town of",councillor,1,1
ON-oakville-council-w04,"Oakville, Town of",councillor,1,2
ON-oakville-council-w05,"Oakville, Town of",councillor,1,5
ON-oakville-council-w06,"Oakville, Town of",councillor,1,1
ON-oakville-council-w07,"Oakville, Town of",councillor,1,2
ON-oakville-mayor,"Oakville, Town of",mayor,1,4
ON-oakville-regional-councillor-w01,"Oakville, Town of",regional_councillor,1,1
ON-oakville-regional-councillor-w02,"Oakville, Town of",regional_councillor,1,3
ON-oakville-regional-councillor-w03,"Oakville, Town of",regional_councillor,1,1
ON-oakville-regional-councillor-w04,"Oakville, Town of",regional_councillor,1,4
ON-oakville-regional-councillor-w05,"Oakville, Town of",regional_councillor,1,1
ON-oakville-regional-councillor-w06,"Oakville, Town of",regional_councillor,1,1
ON-oakville-regional-councillor-w07,"Oakville, Town of",regional_councillor,1,3
ON-oconnor-councillor,"O’Connor, Township of",councillor,4,4
ON-oconnor-mayor,"O’Connor, Township of",mayor,1,0
ON-oil-springs-council-at-large,"Oil Springs, Village of",councillor,4,0
ON-oil-springs-mayor,"Oil Springs, Village of",mayor,1,1
ON-oliver-paipoonge-council,"Oliver Paipoonge, Municipality of",councillor,,4
ON-oliver-paipoonge-mayor,"Oliver Paipoonge, Municipality of",mayor,1,1
ON-opasatika-council-at-large,"Opasatika, Township of",councillor,4,0
ON-opasatika-mayor,"Opasatika, Township of",mayor,1,0
ON-orangeville-council-at-large,"Orangeville, Town of",councillor,5,11
ON-orangeville-deputy-mayor,"Orangeville, Town of",deputy_mayor,1,1
ON-orangeville-mayor,"Orangeville, Town of",mayor,1,2
ON-orillia-council-w01,"Orillia, City of",councillor,2,4
ON-orillia-council-w02,"Orillia, City of",councillor,2,4
ON-orillia-council-w03,"Orillia, City of",councillor,2,2
ON-orillia-council-w04,"Orillia, City of",councillor,2,5
ON-orillia-mayor,"Orillia, City of",mayor,1,2
ON-oro-medonte-council-w01,"Oro-Medonte, Township of",councillor,1,0
ON-oro-medonte-council-w02,"Oro-Medonte, Township of",councillor,1,1
ON-oro-medonte-council-w03,"Oro-Medonte, Township of",councillor,1,1
ON-oro-medonte-council-w04,"Oro-Medonte, Township of",councillor,1,0
ON-oro-medonte-council-w05,"Oro-Medonte, Township of",councillor,1,0
ON-oro-medonte-deputy-mayor,"Oro-Medonte, Township of",deputy_mayor,1,1
ON-oro-medonte-mayor,"Oro-Medonte, Township of",mayor,1,1
ON-oshawa-council-w01,"Oshawa, City of",councillor,1,5
ON-oshawa-council-w02,"Oshawa, City of",councillor,1,3
ON-oshawa-council-w03,"Oshawa, City of",councillor,1,3
ON-oshawa-council-w04,"Oshawa, City of",councillor,1,7
ON-oshawa-council-w05,"Oshawa, City of",councillor,1,5
ON-oshawa-mayor,"Oshawa, City of",mayor,1,7
ON-oshawa-regional-councillor-w01,"Oshawa, City of",regional_councillor,1,1
ON-oshawa-regional-councillor-w02,"Oshawa, City of",regional_councillor,1,2
ON-oshawa-regional-councillor-w03,"Oshawa, City of",regional_councillor,1,1
ON-oshawa-regional-councillor-w04,"Oshawa, City of",regional_councillor,1,4
ON-oshawa-regional-councillor-w05,"Oshawa, City of",regional_councillor,1,2
ON-oshawa-trustee-dcdsb,"Oshawa, City of",trustee,2,3
ON-oshawa-trustee-ddsb,"Oshawa, City of",trustee,3,5
ON-otonabee-south-monaghan-council-at-large,"Otonabee-South Monaghan, Township of",councillor,1,2
ON-otonabee-south-monaghan-council-otonabee-ward,"Otonabee-South Monaghan, Township of",councillor,1,1
ON-otonabee-south-monaghan-council-south-monaghan-ward,"Otonabee-South Monaghan, Township of",councillor,1,1
ON-otonabee-south-monaghan-deputy-mayor,"Otonabee-South Monaghan, Township of",deputy_mayor,1,1
ON-otonabee-south-monaghan-mayor,"Otonabee-South Monaghan, Township of",mayor,1,1
ON-ottawa-council-w01,"Ottawa, City of",councillor,1,7
ON-ottawa-council-w02,"Ottawa, City of",councillor,1,2
ON-ottawa-council-w03,"Ottawa, City of",councillor,1,2
ON-ottawa-council-w04,"Ottawa, City of",councillor,1,1
ON-ottawa-council-w05,"Ottawa, City of",councillor,1,2
ON-ottawa-council-w06,"Ottawa, City of",councillor,1,8
ON-ottawa-council-w07,"Ottawa, City of",councillor,1,2
ON-ottawa-council-w08,"Ottawa, City of",councillor,1,1
ON-ottawa-council-w09,"Ottawa, City of",councillor,1,4
ON-ottawa-council-w10,"Ottawa, City of",councillor,1,3
ON-ottawa-council-w11,"Ottawa, City of",councillor,1,2
ON-ottawa-council-w12,"Ottawa, City of",councillor,1,2
ON-ottawa-council-w13,"Ottawa, City of",councillor,1,2
ON-ottawa-council-w14,"Ottawa, City of",councillor,1,4
ON-ottawa-council-w15,"Ottawa, City of",councillor,1,4
ON-ottawa-council-w16,"Ottawa, City of",councillor,1,1
ON-ottawa-council-w17,"Ottawa, City of",councillor,1,2
ON-ottawa-council-w18,"Ottawa, City of",councillor,1,3
ON-ottawa-council-w19,"Ottawa, City of",councillor,1,2
ON-ottawa-council-w20,"Ottawa, City of",councillor,1,1
ON-ottawa-council-w21,"Ottawa, City of",councillor,1,1
ON-ottawa-council-w22,"Ottawa, City of",councillor,1,2
ON-ottawa-council-w23,"Ottawa, City of",councillor,1,3
ON-ottawa-council-w24,"Ottawa, City of",councillor,1,4
ON-ottawa-mayor,"Ottawa, City of",mayor,1,6
ON-owen-sound-council-at-large,"Owen Sound, City of",councillor,7,7
ON-owen-sound-deputy-mayor,"Owen Sound, City of",deputy_mayor,1,1
ON-owen-sound-mayor,"Owen Sound, City of",mayor,1,5
ON-papineau-cameron-council,"Papineau-Cameron, Township of",councillor,4,5
ON-papineau-cameron-mayor,"Papineau-Cameron, Township of",mayor,1,2
ON-parry-sound-council,"Parry Sound, Town of",councillor,6,9
ON-parry-sound-mayor,"Parry Sound, Town of",mayor,1,1
ON-pelee-council-atlarge,"Pelee, Township of",councillor,4,2
ON-pelee-mayor,"Pelee, Township of",mayor,1,0
ON-pelham-council-w01,"Pelham, Town of",councillor,2,4
ON-pelham-council-w02,"Pelham, Town of",councillor,2,4
ON-pelham-council-w03,"Pelham, Town of",councillor,2,3
ON-pelham-mayor,"Pelham, Town of",mayor,1,1
ON-pembroke-council-at-large,"Pembroke, City of",councillor,6,8
ON-pembroke-mayor,"Pembroke, City of",mayor,1,5
ON-penetanguishene-council,"Penetanguishene, Town of",councillor,5,7
ON-penetanguishene-deputy-mayor,"Penetanguishene, Town of",deputy_mayor,1,2
ON-penetanguishene-mayor,"Penetanguishene, Town of",mayor,1,1
ON-penetanguishene-trustee-english-catholic,"Penetanguishene, Town of",trustee,1,0
ON-penetanguishene-trustee-english-public,"Penetanguishene, Town of",trustee,1,0
ON-penetanguishene-trustee-english-separate-other,"Penetanguishene, Town of",trustee,7,6
ON-penetanguishene-trustee-french-catholic,"Penetanguishene, Town of",trustee,1,2
ON-penetanguishene-trustee-french-public,"Penetanguishene, Town of",trustee,1,1
ON-penetanguishene-trustee-pssb,"Penetanguishene, Town of",trustee,7,6
ON-perry-councillor,"Perry, Township of",councillor,4,6
ON-perry-mayor,"Perry, Township of",mayor,1,1
ON-perth-east-council-ellice,"Perth East, Township of",councillor,1,0
ON-perth-east-council-milverton,"Perth East, Township of",councillor,1,0
ON-perth-east-council-mornington,"Perth East, Township of",councillor,1,0
ON-perth-east-council-north-easthope,"Perth East, Township of",councillor,1,0
ON-perth-east-council-south-easthope,"Perth East, Township of",councillor,1,0
ON-perth-east-deputy-mayor,"Perth East, Township of",deputy_mayor,1,1
ON-perth-east-mayor,"Perth East, Township of",mayor,1,2
ON-perth-south-council-at-large,"Perth South, Township of",councillor,6,4
ON-perth-south-mayor,"Perth South, Township of",mayor,1,1
ON-perth-town-council-at-large,"Perth, Town of",councillor,,10
ON-perth-town-deputy-mayor,"Perth, Town of",deputy_mayor,1,1
ON-perth-town-mayor,"Perth, Town of",mayor,1,4
ON-petawawa-council-at-large,"Petawawa, Town of",councillor,6,7
ON-petawawa-mayor,"Petawawa, Town of",mayor,1,1
ON-petawawa-trustee-cepeo,"Petawawa, Town of",trustee,1,0
ON-petawawa-trustee-rccdsb,"Petawawa, Town of",trustee,1,1
ON-petawawa-trustee-rcdsb,"Petawawa, Town of",trustee,1,1
ON-peterborough-city-council-w01,"Peterborough, City of",councillor,1,5
ON-peterborough-city-council-w02,"Peterborough, City of",councillor,1,5
ON-peterborough-city-council-w03,"Peterborough, City of",councillor,1,4
ON-peterborough-city-council-w04,"Peterborough, City of",councillor,1,4
ON-peterborough-city-council-w05,"Peterborough, City of",councillor,1,6
ON-peterborough-city-mayor,"Peterborough, City of",mayor,1,6
ON-petrolia-council-at-large,"Petrolia, Town of",councillor,6,5
ON-petrolia-mayor,"Petrolia, Town of",mayor,1,1
ON-pickering-council-w01,"Pickering, City of",councillor,1,6
ON-pickering-council-w02,"Pickering, City of",councillor,1,5
ON-pickering-council-w03,"Pickering, City of",councillor,1,2
ON-pickering-mayor,"Pickering, City of",mayor,1,4
ON-pickering-regional-councillor-w01,"Pickering, City of",regional_councillor,1,1
ON-pickering-regional-councillor-w02,"Pickering, City of",regional_councillor,1,2
ON-pickering-regional-councillor-w03,"Pickering, City of",regional_councillor,1,1
ON-pickering-trustee-dcdsb,"Pickering, City of",trustee,1,2
ON-pickering-trustee-ddsb,"Pickering, City of",trustee,2,6
ON-pickle-lake-council-at-large,"Pickle Lake, Township of",councillor,4,0
ON-pickle-lake-mayor,"Pickle Lake, Township of",mayor,1,1
