candidate_id,name,race_id,municipality,office,site,platform_words
ON-chatham-kent-council-w01-melissa-harrigan,Melissa Harrigan,ON-chatham-kent-council-w01,"Chatham-Kent, Municipality of",councillor,https://www.melissaharrigan.com,0
ON-chatham-kent-council-w01-michael-bond,Michael Bond,ON-chatham-kent-council-w01,"Chatham-Kent, Municipality of",councillor,https://michaelbond.wordpress.com/2026/05/08/michael-bond-officially-launches-campaign-for-ward-1-council-seat-in-chatham-kent,6908
ON-chatham-kent-council-w02-hassan-tariq,Hassan Tariq,ON-chatham-kent-council-w02,"Chatham-Kent, Municipality of",councillor,https://hassantariq.ca,0
ON-chatham-kent-council-w06-alysson-storey,Alysson Storey,ON-chatham-kent-council-w06,"Chatham-Kent, Municipality of",councillor,https://www.votestorey.ca/housing-and-homelessness.html,0
ON-chatham-kent-mayor-canniff-d,Darrin Canniff,ON-chatham-kent-mayor,"Chatham-Kent, Municipality of",mayor,https://darrincanniff.com,0
ON-clarington-council-w01-elhajjeh-s,Sami Elhajjeh,ON-clarington-council-w01,"Clarington, Municipality of",councillor,https://votesamiward1.ca,0
ON-clarington-council-w02-sanchez-b,Bernard Sanchez,ON-clarington-council-w02,"Clarington, Municipality of",councillor,https://voteforbernardsanchez.com,0
ON-clarington-council-w02-aucoin-c,Chris Aucoin,ON-clarington-council-w02,"Clarington, Municipality of",councillor,https://votechrisaucoin.ca,0
ON-clarington-mayor-dingwall-t,Tom Dingwall,ON-clarington-mayor,"Clarington, Municipality of",mayor,https://tomdingwall.ca,2412
ON-clarington-regional-councillor-w01-02-anderson-g,Granville Anderson,ON-clarington-regional-councillor-w01-02,"Clarington, Municipality of",regional_councillor,https://granvilleanderson.ca,0
ON-clarington-regional-councillor-w03-04-nair-k,Kannan Nair,ON-clarington-regional-councillor-w03-04,"Clarington, Municipality of",regional_councillor,https://kannannair.ca,0
ON-clarington-trustee-kprdsb-mcaleer-k,Kurtis McAleer,ON-clarington-trustee-kprdsb,"Clarington, Municipality of",trustee,http://www.KurtisMcAleer.ca,0
ON-clarington-trustee-pvnccdsb-mackenzie-k,Kevin MacKenzie,ON-clarington-trustee-pvnccdsb,"Clarington, Municipality of",trustee,https://about.me/kevinamackenzie,0
ON-clearview-mayor-measures-d,Doug Measures,ON-clearview-mayor,"Clearview, Township of",mayor,https://dougmeasures.com,1490
ON-cobourg-mayor-beatty-n,Nicole Beatty,ON-cobourg-mayor,"Cobourg, Town of",mayor,https://www.nicolebeatty.ca,2374
ON-cornwall-council-at-large-riley-j,Jason Riley,ON-cornwall-council-at-large,"Cornwall, City of",councillor,https://votejasonriley.ca,1380
ON-BD-ncdsb-trustee-dryden-M,Peter Marshall,ON-BD-ncdsb-trustee-dryden,"Dryden, City of",trustee,https://jmarshall.dsbn.org/school-council,0
ON-dutton-dunwich-mayor-henry-dryfhout,Henry Dryfhout,ON-dutton-dunwich-mayor,"Dutton/Dunwich, Municipality of",mayor,https://votehenry.ca,375
ON-east-ferris-council-demers-d,Dean Demers,ON-east-ferris-council,"East Ferris, Municipality of",councillor,https://deandemersforcouncil.com,0
ON-east-gwillimbury-council-w01-carruthers-l,Loralea Carruthers,ON-east-gwillimbury-council-w01,"East Gwillimbury, Town of",councillor,https://www.loralea.ca,0
ON-east-gwillimbury-council-w02-petejan-j,John Petejan,ON-east-gwillimbury-council-w02,"East Gwillimbury, Town of",councillor,https://johnpetejan.com/platform,604
ON-east-gwillimbury-council-w03-butterworth-c,Carolyn Butterworth,ON-east-gwillimbury-council-w03,"East Gwillimbury, Town of",councillor,https://www.carolynbutterworth.ca,1182
ON-east-gwillimbury-council-w03-glenn-c,Christine Glenn,ON-east-gwillimbury-council-w03,"East Gwillimbury, Town of",councillor,https://www.christineglenn.ca/,0
ON-east-gwillimbury-mayor-johns-b,Brian Johns,ON-east-gwillimbury-mayor,"East Gwillimbury, Town of",mayor,https://brianjohns.ca/news,0
ON-erin-council-at-large-aylard-c,Cathy Aylard,ON-erin-council-at-large,"Erin, Town of",councillor,https://www.cathyaylard.ca/,0
ON-essa-mayor-logreco-f,Francesco Lo Greco,ON-essa-mayor,"Essa, Township of",mayor,https://francescologrecoformayor.com,0
