candidate_id,name,race_id,municipality,office,site,platform_words
ON-kawartha-lakes-council-w05-doble-m,Mark Doble,ON-kawartha-lakes-council-w05,"Kawartha Lakes, City of",councillor,https://www.markdoblecampaign.ca,1306
ON-king-council-w01-mohar-a,Abrar Mohar,ON-king-council-w01,"King, Township of",councillor,https://abrarmohar.ca,1233
ON-king-council-w03-anstey-j,Jennifer Anstey,ON-king-council-w03,"King, Township of",councillor,https://www.jenniferanstey.ca/,0
ON-king-council-w04-mastromattei-f,Frank Mastromattei,ON-king-council-w04,"King, Township of",councillor,https://frank4ward4.ca,523
ON-king-council-w04-asselstine-m,Mary Asselstine,ON-king-council-w04,"King, Township of",councillor,https://www.maryasselstine.ca/,0
ON-king-council-w06-eek-a,Avia Eek,ON-king-council-w06,"King, Township of",councillor,https://aviaeek.webs.com/,0
ON-kingston-council-w01-joseph-abreu,Joseph Abreu,ON-kingston-council-w01,"Kingston, City of",councillor,https://www.josephabreu.ca/,0
ON-kingston-council-w01-vic-sahai,Vic Sahai,ON-kingston-council-w01,"Kingston, City of",councillor,https://vicsahai4kingston.com,0
ON-kingston-council-w04-wendy-stephen,Wendy Stephen,ON-kingston-council-w04,"Kingston, City of",councillor,https://wendystephen.com/about-wendy,0
ON-kingston-council-w05-don-amos,Don Amos,ON-kingston-council-w05,"Kingston, City of",councillor,https://www.donamos4portsmouth.ca/,0
ON-kingston-council-w07-michael-judd,Michael Judd,ON-kingston-council-w07,"Kingston, City of",councillor,https://www.michaeljudd4u.ca/big-issues/alto-what-we-dont-know,2835
ON-kingston-council-w12-chelsea-rae,Chelsea Rae,ON-kingston-council-w12,"Kingston, City of",councillor,https://www.chelsearae.ca/,0
ON-kingston-mayor-paterson-b,Bryan Paterson,ON-kingston-mayor,"Kingston, City of",mayor,https://www.bryan4mayor.ca,2682
ON-kingsville-mayor-nallaratnam-r,Roshan Nallaratnam,ON-kingsville-mayor,"Kingsville, Town of",mayor,https://roshannallaratnam.com,1642
ON-kitchener-council-ward10-nabi-s,Sam Nabi,ON-kitchener-council-ward10,"Kitchener, City of",councillor,https://samnabi.ca,1221
ON-kitchener-council-ward5-rose-d,Danielle Rose,ON-kitchener-council-ward5,"Kitchener, City of",councillor,https://daniellerosekw.ca/about,0
ON-lasalle-council-at-large-seguin-m,Mike Seguin,ON-lasalle-council-at-large,"LaSalle, Town of",councillor,https://mikeseguin.ca/,0
ON-lakeshore-mayor-pace-a,Argo Pace,ON-lakeshore-mayor,"Lakeshore, Municipality of",mayor,https://www.argopacemovinglakeshoreforward.com,0
ON-lakeshore-mayor-sinjari-s,Sam Sinjari,ON-lakeshore-mayor,"Lakeshore, Municipality of",mayor,https://votesam.ca,0
ON-larder-lake-council-paquette-a,Aaron Paquette,ON-larder-lake-council,"Larder Lake, Township of",councillor,https://aaronpaquette.ca/platform,6015
ON-lincoln-mayor-reimer-g,Greg Reimer,ON-lincoln-mayor,"Lincoln, Town of",mayor,https://gregreimer.ca,0
ON-london-council-w01-hadleigh-mcalister,Hadleigh McAlister,ON-london-council-w01,"London, City of",councillor,https://hadleighmcalisterward1.com/platform,1226
ON-london-council-w02-zack-ramsey,Zack Ramsey,ON-london-council-w02,"London, City of",councillor,https://www.zackramsey.ca/policy-ideas,1183
ON-london-council-w04-tom-cull,Tom Cull,ON-london-council-w04,"London, City of",councillor,https://www.votetomcull.ca,0
ON-london-council-w07-sam-hajar,Sam Hajar,ON-london-council-w07,"London, City of",councillor,https://www.pinterest.com/samhajar2,0
ON-london-council-w08-coralia-esterra-tudor,Coralia Esterra Tudor,ON-london-council-w08,"London, City of",councillor,https://votetudor.ca,4309
ON-london-council-w09-anna-hopkins,Anna Hopkins,ON-london-council-w09,"London, City of",councillor,https://reelectanna.ca,0
ON-london-council-w09-luke-thomas,Luke Thomas,ON-london-council-w09,"London, City of",councillor,https://www.lukethomas.ca/,0
ON-london-council-w11-skylar-franke,Skylar Franke,ON-london-council-w11,"London, City of",councillor,https://www.skylarfranke.ca,0
ON-london-council-w12-alexander-main,Alexander Main,ON-london-council-w12,"London, City of",councillor,https://alexmain.ca/meet-alex,411
ON-london-council-w14-jason-king,Jason King,ON-london-council-w14,"London, City of",councillor,https://jasonwking.ca/Home?siteID=17404&pageID=210221&originalPath=%2F,3731
ON-london-mayor-howe-l,Lawrence-Zachary Howe,ON-london-mayor,"London, City of",mayor,https://lawrencezachary.ca,0
ON-loyalist-deputy-mayor-proderick-p,Paul Proderick,ON-loyalist-deputy-mayor,"Loyalist, Township of",deputy_mayor,https://www.paulproderick.com,0
ON-markham-regional-councillor-at-large-jones-j,Jim Jones,ON-markham-regional-councillor-at-large,"Markham, City of",regional_councillor,https://www.jimjones.ca/home,0
ON-markstay-warren-mayor-dave-boland,Dave Boland,ON-markstay-warren-mayor,"Markstay-Warren, Municipality of",mayor,https://davebolandmw.ca/municipal-news,3455
ON-mcnab-braeside-council-tremblay-r,Rob Tremblay,ON-mcnab-braeside-council,"McNab/Braeside, Township of",councillor,https://tremblay4mb.ca/endorsements,0
ON-meaford-council-at-large-ennis-e,Eric ENNIS,ON-meaford-council-at-large,"Meaford, Municipality of",councillor,https://www.ericennis.ca,0
ON-merrickville-wolford-mayor-anne-barr,Anne Barr,ON-merrickville-wolford-mayor,"Merrickville-Wolford, Village of",mayor,https://www.annebarr.ca/,0
ON-milton-council-w02-foster-l,Lori Foster,ON-milton-council-w02,"Milton, Town of",councillor,https://lorifoster.ca,451
ON-milton-mayor-azim-z,Zainab Azim,ON-milton-mayor,"Milton, Town of",mayor,https://milton.com/,2364
ON-milton-regional-councillor-w01-best-c,Colin Best,ON-milton-regional-councillor-w01,"Milton, Town of",regional_councillor,https://www.colinbest.ca,0
ON-milton-regional-councillor-w02-challinor-j,John Challinor,ON-milton-regional-councillor-w02,"Milton, Town of",regional_councillor,https://johnchallinor.ca,2019
ON-mississauga-council-w07-srivastava-a,Amitabh Srivastava,ON-mississauga-council-w07,"Mississauga, City of",councillor,https://amitabhsrivastava.ca,0
ON-mississauga-council-w07-saeed-n,Naila Saeed,ON-mississauga-council-w07,"Mississauga, City of",councillor,https://nailasaeed.ca,0
ON-mississauga-council-w10-mcfadden-s,Sue McFadden,ON-mississauga-council-w10,"Mississauga, City of",councillor,https://reelectsue.ca,0
